schön	beautiful
dahin	there
kontrolle	control
beispiel	example (of sth.)
lady	Lady
dasselbe	identical
herzen	heart
schlagen	fell
weise	way
damen	lady
darin	therein
vorsicht	care
beweisen	to prove {proved
gehabt	to hold
zumindest	at a/the minimum, at least
vermisst	military action
verbindung	bedfellows [fig.]
tief	depression
richtung	line
lage	coat
sowieso	anyhow
kraft	worker
normal	standard
lauf	launder
ehre	credit (public acknowledgement)
geschenk	present
bar	bar
tasche	recess
gelesen	to harvest sth.
gekauft	to buy sth. {bought
gestohlen	to steal {stole
hunger	appetite (for)
beziehung	relation (with sb.)
verschwunden	to perish (disappear or be destroyed)
gearbeitet	to work {work
preis	award (for sb.’s merits)
witz	esprit
liste	laundry list [coll.]
geist	spirit (non-physical phenomenon)
neben	by
gesucht	to prospect (for)
schrecklich	parlously
letzter	ultimate
verliebt	to fall in love with sb.
redet	to discourse (on/about sth.)
boot	boat (small vessel)
seltsam	extraordinary
versteckt	obliquely
erwischt	to catch sb. (at)
verkauft	to purvey sth. [formal]
tante	aunt
erwarten	to wait for sth.
pferd	horse
wunder	wonder
sauer	sour (taste sensation)
vermutlich	supposed
major	Wing Commander (rank) [Br.]
jung	young
aussehen	appearance
links	left /l./
welches	who
geboren	to bear {bore
erreichen	achievement
punkt	rating point
kirche	church service
verraten	to blab sth.
selber	oneself
befehl	order
zieht	to grow {grew
geburtstag	birthday
haut	skin (of smaller/young animals)
wette	bet
reich	empire
sekunde	second
geredet	to discourse (on/about sth.)
james	James
madame	Madame
eigene	own
zeiten	time
traurig	sorrowful
anruf	challenge (order from a guard/sentry to stop and prove identity)
nachrichten	news
frieden	peace
karte	pass (for using a service)
diesmal	time
kriege	war (on/against sb./sth.)
bleibe	a place to stay
sonne	sun
lieb	kind
letztes	last
ruft	to cry (for)
professor	wonk [Am.] [coll.]
gericht	law court
nase	lug
ewig	perpetual
singen	singing
bank	bank
computer	computer
toten	fatality (statistics)
weihnachten	Christmas
offensichtlich	clear
naja	well
show	show
geheimnis	secret
kontakt	contact
gold	gold
drogen	addictive substance
regierung	government /Gov./ /Govt./
wein	wine
ermordet	to murder sb.
fotos	picture
entfernt	to take off ⇆ sth.
geschlafen	to sleep {slept
manche	some
erledigen	to finish sth.
schlaf	sleep
lust	zest
witzig	funny
heim	home
namens	by the name of
zeigt	to evidence sth.
geliebt	beloved
brachte	to convey sth. [formal] (from / to a place)
blick	sight
besuch	visit (to a place or institution)
bewegen	moving
haare	hair
antworten	answer
hoffnung	hope (for sth.)
stecken	stick
rechts	right
interessant	intriguing
entscheiden	to decide
miteinander	with each other
indem	by …+ing
wohnen	housing
kaputt	whacked [Br.] [coll.]
flugzeug	aeroplane [Br.]
vergangenheit	past
anderer	other
zweite	runner-up
armee	army
jim	James
tee	tea
entweder	either
don	Don (river)
aufhalten	detention (of a thing)
stellt	to provide sth. (to/for sb.)
sauber	above board
mark	pulp
schlag	fell
sheriff	sheriff
untertitel	titles (film, TV)
setzt	to place
gesellschaft	society
verstecken	hiding
schuldig	guilty
hals	neck
besuchen	to attend sth. (on a regular basis)
passen	ballpark [coll.]
erhalten	receipt
teilen	to partition
schicksal	destiny
zeichen	sign
richter	judge
besorgt	apprehensive
lief	to walk
volk	people of an area
herausfinden	to establish
soldaten	soldier
feiern	celebration
situation	situation
lag	to rest
gelassen	equanimous
allerdings	indeed
soweit	as far as
gefahren	threat
verstand	common sense
bord	board
angefangen	to take to sth.
lee	lee
bob	bobsleighing [Br.]
rat	advice
worauf	whereupon
gebeten	to ask (for)
kamera	still camera
achtung	regard
ganzes	whole
schuhe	footwear
statt	instead of
gegend	district
wald	wood
erkennen	recognition
glas	spectacles glass
verantwortlich	answerable
herein	in (here)
kleid	livery
jawohl	that’s right
london	London
gegessen	to eat {ate
abendessen	supper
gesetz	Act (of Parliament) [Br.]
gemeinsam	common
geholfen	to help out ⇆ sb. (with sth.)
erster	first
schritt	crotch
nahe	shot size
beginnen	incipience
band	tape
aufgabe	job
neun	(number) nine
furchtbar	dire
drinnen	indoors
zuvor	before /b4/
amerika	America
spur	traffic lane
melden	saltbushes
werfen	to fawn
erinnert	to be evocative of sth.
freude	joy
ehemann	husband
erschossen	to be worn out
verzeihen	to excuse sth.
schwein	pig
monster	monster
entschieden	emphatic
mission	mission
brauch	custom
gewusst	to know about sth. {knew
vorne	at the front
stopp	stop
schlampe	floozie
adresse	address
unsinn	bosh [coll.]
messer	knife
gesund	healthy (in good health or not diseased)
respekt	respect (for sb./sth.)
pro	per
leisten	guide rail
davor	in front (of it/that/them)
